10:07:53.451:  0, 0 ,0
| Ac= 380 | AcZ = 15492 
AcX = -336 | AcY = 340 | AcZ = 15448 
AcX = -292 | AcY = 328 | AcZ = 15428 
AcX = -372 | AcY = 456 | AcZ = 15492 
AcX = -432 | AcY = 396 | AcZ = 15560 
AcX = -252 | AcY = 428 | AcZ = 15432 
AcX = -308 | AcY = 368 | AcZ = 15636 
AcX = -372 | AcY = 396 | AcZ = 15380 
AcX = -380 | AcY = 284 | AcZ = 15496 
AcX = -396 | AcY = 408 | AcZ = 15456 
AcX = -456 | AcY = 392 | AcZ = 15512 
AcX = -384 | AcY = 416 | AcZ = 15472 
AcX = -444 | AcY = 396 | AcZ = 15324 
AcX = -368 | AcY = 368 | AcZ = 15424 
AcX = -240 | AcY = 384 | AcZ = 15428 
AcX = -364 | AcY = 432 | AcZ = 15360 
AcX = -228 | AcY = 396 | AcZ = 15484 
AcX = -268 | AcY = 468 | AcZ = 15516 
AcX = -200 | AcY = 408 | AcZ = 15480 
AcX = -364 | AcY = 500 | AcZ = 15524 
AcX = -320 | AcY = 452 | AcZ = 15504 
AcX = -400 | AcY = 460 | AcZ = 15472 
AcX = -308 | AcY = 472 | AcZ = 15544 
AcX = -280 | AcY = 396 | AcZ = 15300 
AcX = -448 | AcY = 416 | AcZ = 15428 
AcX = -324 | AcY = 428 | AcZ = 15704 
AcX = -396 | AcY = 432 | AcZ = 15420 
AcX = -240 | AcY = 436 | AcZ = 15432 
AcX = -428 | AcY = 448 | AcZ = 15544 
AcX = -436 | AcY = 360 | AcZ = 15588 
AcX = -324 | AcY = 496 | AcZ = 15556 
AcX = -460 | AcY = 420 | AcZ = 15528 
AcX = -416 | AcY = 396 | AcZ = 15524 
AcX = -476 | AcY = 408 | AcZ = 15568 
AcX = -380 | AcY = 336 | AcZ = 15448 
AcX = -368 | AcY = 452 | AcZ = 15368 
AcX = -352 | AcY = 416 | AcZ = 15392 
AcX = -380 | AcY = 416 | AcZ = 15484 
AcX = -332 | AcY = 436 | AcZ = 15568 
AcX = -300 | AcY = 452 | AcZ = 15420 
AcX = -420 | AcY = 368 | AcZ = 15448 
AcX = -428 | AcY = 484 | AcZ = 15468 
AcX = -328 | AcY = 368 | AcZ = 15532 
AcX = -356 | AcY = 424 | AcZ = 15424 
AcX = -396 | AcY = 360 | AcZ = 15472 
AcX = -340 | AcY = 456 | AcZ = 15448 
AcX = -388 | AcY = 380 | AcZ = 15536 
AcX = -312 | AcY = 436 | AcZ = 15468 
AcX = -296 | AcY = 260 | AcZ = 15588 
AcX = -440 | AcY = 400 | AcZ = 15436 
AcX = -380 | AcY = 332 | AcZ = 15540 
AcX = -384 | AcY = 352 | AcZ = 15628 
AcX = -276 | AcY = 340 | AcZ = 15432 
AcX = -400 | AcY = 416 | AcZ = 15392 
AcX = -380 | AcY = 476 | AcZ = 15580 
AcX = -324 | AcY = 380 | AcZ = 15528 
AcX = -328 | AcY = 372 | AcZ = 15400 
AcX = -316 | AcY = 304 | AcZ = 15332 
AcX = -340 | AcY = 400 | AcZ = 15468 
AcX = -396 | AcY = 384 | AcZ = 15484 
AcX = -380 | AcY = 304 | AcZ = 15480 
AcX = -336 | AcY = 436 | AcZ = 15488 
AcX = -388 | AcY = 340 | AcZ = 15508 
AcX = -376 | AcY = 424 | AcZ = 15528 
AcX = -336 | AcY = 376 | AcZ = 15300 
AcX = -340 | AcY = 380 | AcZ = 15440 
AcX = -324 | AcY = 356 | AcZ = 15464 
AcX = -268 | AcY = 392 | AcZ = 15412 
AcX = -348 | AcY = 428 | AcZ = 15460 
AcX = -320 | AcY = 408 | AcZ = 15580 
AcX = -292 | AcY = 428 | AcZ = 15620 
AcX = -300 | AcY = 392 | AcZ = 15344 
AcX = -288 | AcY = 480 | AcZ = 15608 
AcX = -428 | AcY = 384 | AcZ = 15500 
AcX = -316 | AcY = 476 | AcZ = 15404 
AcX = -332 | AcY = 452 | AcZ = 15552 
AcX = -300 | AcY = 472 | AcZ = 15480 
AcX = -344 | AcY = 388 | AcZ = 15512 
AcX = -416 | AcY = 356 | AcZ = 15396 
AcX = -360 | AcY = 368 | AcZ = 15368 
AcX = -304 | AcY = 464 | AcZ = 15436 
AcX = -468 | AcY = 464 | AcZ = 15564 
AcX = -336 | AcY = 376 | AcZ = 15432 
AcX = -456 | AcY = 436 | AcZ = 15424 
AcX = -376 | AcY = 336 | AcZ = 15504 
AcX = -368 | AcY = 360 | AcZ = 15372 
AcX = -292 | AcY = 384 | AcZ = 15452 
AcX = -376 | AcY = 348 | AcZ = 15468 
AcX = -376 | AcY = 508 | AcZ = 15424 
AcX = -328 | AcY = 500 | AcZ = 15552 
AcX = -276 | AcY = 288 | AcZ = 15508 
AcX = -320 | AcY = 236 | AcZ = 15364 
AcX = -352 | AcY = 380 | AcZ = 15488 
AcX = -388 | AcY = 396 | AcZ = 15404 
AcX = -320 | AcY = 496 | AcZ = 15492 
AcX = -404 | AcY = 456 | AcZ = 15524 
AcX = -340 | AcY = 360 | AcZ = 15448 
AcX = -276 | AcY = 384 | AcZ = 15488 
AcX = -364 | AcY = 424 | AcZ = 15480 
AcX = -376 | AcY = 336 | AcZ = 15524 
AcX = -376 | AcY = 356 | AcZ = 15512 
AcX = -412 | AcY = 468 | AcZ = 15432 
AcX = -340 | AcY = 420 | AcZ = 15440 
AcX = -280 | AcY = 368 | AcZ = 15440 
AcX = -288 | AcY = 364 | AcZ = 15452 
AcX = -348 | AcY = 328 | AcZ = 15328 
AcX = -356 | AcY = 388 | AcZ = 15480 
AcX = -308 | AcY = 380 | AcZ = 15392 
AcX = -372 | AcY = 364 | AcZ = 15456 
AcX = -372 | AcY = 452 | AcZ = 15424 
AcX = -376 | AcY = 392 | AcZ = 15544 
AcX = -308 | AcY = 376 | AcZ = 15476 
AcX = -368 | AcY = 356 | AcZ = 15320 
AcX = -424 | AcY = 408 | AcZ = 15472 
AcX = -356 | AcY = 352 | AcZ = 15392 
AcX = -304 | AcY = 512 | AcZ = 15632 
AcX = -268 | AcY = 460 | AcZ = 15408 
AcX = -380 | AcY = 348 | AcZ = 15396 
AcX = -284 | AcY = 332 | AcZ = 15484 
AcX = -408 | AcY = 464 | AcZ = 15416 
